slug;роль;ключевое слово;частота;направление;комментарий
04-related-tables;дополнительная;гугл таблицы аналог впр;3;BPM и автоматизация бизнес-процессов;Статья сравнивает и с Google Sheets — уместно
04-related-tables;дополнительная;альтернатива впр в excel;4;BPM и автоматизация бизнес-процессов;Хвост
04-related-tables;дополнительная;чем заменить впр в экселе;2;BPM и автоматизация бизнес-процессов;Вопросная форма — в FAQ
04-related-tables;дополнительная;отличие электронной таблицы от таблицы реляционной базы данных;1;Преодоление технических лимитов и масштабирование;Микрочастота, но это буквально тезис статьи — годится в подзаголовок
04-related-tables;дополнительная;автоматизация синхронизации справочников;0;BPM и автоматизация бизнес-процессов;"Частота 0; «информационная система и справочники» (281) занята страницей каталога"
05-access-rights;основная;доступ к информационным системам это;1157;Информационные системы и цифровая трансформация;"Крупнейшая свободная фраза про доступ; чисто информационный интент (человек хочет определение) — для базы знаний это плюс. В H2 ложится: «Доступ к информационным системам — это не одна галочка «Редактор»»"
05-access-rights;дополнительная;идентификации и аутентификации пользователя информационной системы;198;Информационные системы и цифровая трансформация;"Информационный; блок про роли и вход"
05-access-rights;дополнительная;пользователи и администраторы информационных систем;173;Информационные системы и цифровая трансформация;"Информационный; разделение ролей"
05-access-rights;дополнительная;система управления доступом автоматизация;127;BPM и автоматизация бизнес-процессов;"Коммерческий; про механику прав"
05-access-rights;дополнительная;автоматизация управления доступом;127;BPM и автоматизация бизнес-процессов;Словоформа предыдущей
05-access-rights;дополнительная;автоматизация контроля доступа;85;BPM и автоматизация бизнес-процессов;Коммерческий
05-access-rights;дополнительная;учет информационных систем персональных данных;352;Автоматизация рутинных операций и отчетов;"Информационный; связывает права с ПДн — уместно в блоке про маски и скрытые поля"
05-access-rights;дополнительная;задачи системы контроля управления доступом;35;Информационные системы и цифровая трансформация;Информационный
05-access-rights;дополнительная;автоматизация разграничения доступа;13;BPM и автоматизация бизнес-процессов;Единственное точное «разграничение доступа» в ядре — обязательно вписать, несмотря на частоту
05-access-rights;дополнительная;ограничения одновременного доступа к таблице;0;Преодоление технических лимитов и масштабирование;Частота 0 — формулировка
05-access-rights;дополнительная;многопользовательский доступ;0;Процессный подход к управлению;Частота 0
06-airtable-control;основная;airtable аналоги;16;BPM и автоматизация бизнес-процессов;Вынужденный выбор: единственная свободная словоформа. «аналог airtable» (16) стоит в H1 главной, «российский аналог airtable» (10) — в её тексте. Частота символическая, статью надо вести не за счёт Airtable-фраз, а за счёт темы «свой контур»
06-airtable-control;дополнительная;информационная система и облачные технологии;80;Информационные системы и цифровая трансформация;"Информационный; про облако против своего контура"
06-airtable-control;дополнительная;хранение больших объемов данных облачно;38;Внутренние учетные системы для бизнеса;"Информационный; про лимиты хранения тарифа"
06-airtable-control;дополнительная;цена увеличения объема таблицы;11;Преодоление технических лимитов и масштабирование;Точно про «тарифный потолок на записи»
06-airtable-control;дополнительная;ограничения таблиц в Airtable;0;Преодоление технических лимитов и масштабирование;Частота 0, но формулировка блока про лимиты — прямая
06-airtable-control;дополнительная;ограничения Airtable таблиц;0;Преодоление технических лимитов и масштабирование;Частота 0
06-airtable-control;дополнительная;информационная система и риски Airtable;0;Информационные системы и цифровая трансформация;Частота 0
06-airtable-control;дополнительная;информационная система и on-premise;2;Информационные системы и цифровая трансформация;"Микрочастота; основной on-premise-спрос отдан статьям 15 и 18"
06-airtable-control;дополнительная;информационная система и зависимость от вендора;0;Информационные системы и цифровая трансформация;Частота 0, но это дословный тезис статьи
06-airtable-control;дополнительная;информационная система и уязвимости SaaS-решений;0;Информационные системы и цифровая трансформация;Частота 0
07-notion-relational-data;основная;данные и знания в информационной системе;270;Информационные системы и цифровая трансформация;Дословный тезис статьи: Notion — про знания, Интеграм — про данные. Информационный интент. Notion в ядре присутствует только двумя фразами с частотой 0
07-notion-relational-data;дополнительная;базы знаний и информационные системы;240;Информационные системы и цифровая трансформация;"Информационный; тот же тезис в другой формулировке"
07-notion-relational-data;дополнительная;информационная система и знания;1338;Информационные системы и цифровая трансформация;Крупная, но это Wordstat-агрегат: брать в тело, не в заголовок
07-notion-relational-data;дополнительная;знание информационных систем это;450;Информационные системы и цифровая трансформация;Информационный
07-notion-relational-data;дополнительная;базы знаний системы управления базами знаний;305;BPM и автоматизация бизнес-процессов;Информационный
07-notion-relational-data;дополнительная;система учета сделок;151;BPM и автоматизация бизнес-процессов;Статья говорит про базу сделок — коммерческий, точный
07-notion-relational-data;дополнительная;система учета клиентов;688;BPM и автоматизация бизнес-процессов;"Коммерческий; база клиентов — второй пример статьи. Внимание: близко к кластеру страницы сравнения с CRM"
07-notion-relational-data;дополнительная;ограничения реляционных баз данных;12;Преодоление технических лимитов и масштабирование;Для блока ограничений
07-notion-relational-data;дополнительная;лимиты таблиц в Notion базе данных;0;Преодоление технических лимитов и масштабирование;Частота 0 — единственное упоминание Notion в ядре, брать как формулировку
07-notion-relational-data;дополнительная;информационная система и недостатки Notion;0;Информационные системы и цифровая трансформация;Частота 0
08-html-templates;основная;информационная система и интерфейс;697;Информационные системы и цифровая трансформация;"Единственная крупная свободная фраза про интерфейс; информационный интент. В H1 ложится: «Интерфейс информационной системы на HTML-шаблонах…». Слово «HTML-шаблон» в ядре отсутствует вовсе"
08-html-templates;дополнительная;дизайн графических и пользовательских интерфейсов информационных систем;131;Информационные системы и цифровая трансформация;Информационный, учебная формулировка — в тело, не в заголовок
08-html-templates;дополнительная;интерфейс ис это;53;Информационные системы и цифровая трансформация;Информационный хвост
08-html-templates;дополнительная;протоколы и интерфейсы информационных систем;47;Информационные системы и цифровая трансформация;"Информационный; блок про встраивание внешних компонентов"
08-html-templates;дополнительная;автоматическое заполнение шаблонов документов;38;Автоматизация рутинных операций и отчетов;"Коммерческий; закрывает сценарий печатной вёрстки"
08-html-templates;дополнительная;автоматическое заполнение документов по шаблону;17;Автоматизация рутинных операций и отчетов;Тот же сценарий
08-html-templates;дополнительная;веб-интерфейс для Excel данных;2;Автоматизация рутинных операций и отчетов;Микрочастота, точная формулировка
08-html-templates;дополнительная;интерфейс приложения из структуры Excel;1;Автоматизация рутинных операций и отчетов;Микрочастота
08-html-templates;дополнительная;информационная система и шаблоны решений;2;Информационные системы и цифровая трансформация;Микрочастота
08-html-templates;дополнительная;генерация интерфейса;0;Процессный подход к управлению;Частота 0
08a-vibe-coding-templates;дополнительная;генерация интерфейса;0;Процессный подход к управлению;Частота 0 — ближайшее по смыслу, но это не спрос
08a-vibe-coding-templates;дополнительная;информационная система и интерфейс;697;Информационные системы и цифровая трансформация;"Занята статьёй 08; здесь только как тематический фон в теле, не в заголовке"
08a-vibe-coding-templates;дополнительная;автоматическая генерация отчетов;65;Автоматизация рутинных операций и отчетов;Не про интерфейс — натяжка, помечено сознательно
08a-vibe-coding-templates;дополнительная;информационная система и шаблоны решений;2;Информационные системы и цифровая трансформация;Микрочастота
08a-vibe-coding-templates;дополнительная;оптимизация бизнес процессов с помощью llm;7;Процессный подход к управлению;"Единственное упоминание LLM в ядре; к теме шаблонов отношения почти не имеет"
09-custom-development-prototype;основная;разработка информационных систем и приложений;552;Информационные системы и цифровая трансформация;Тема статьи дословно: разработка приложений против готовой конфигурации. Информационный интент (учебный запрос). Разведена со статьёй 22, которая берёт «создание информационной системы это»
09-custom-development-prototype;дополнительная;разработка и внедрение информационной системы;921;Информационные системы и цифровая трансформация;"Информационный; путь «идея → прототип → внедрение»"
09-custom-development-prototype;дополнительная;разработка и создание информационной системы;518;Информационные системы и цифровая трансформация;"Информационный; следить, чтобы не перебила основную фразу статьи 22"
09-custom-development-prototype;дополнительная;исследование и разработка информационной системы;123;Информационные системы и цифровая трансформация;Информационный хвост
09-custom-development-prototype;дополнительная;проектирование информационной системы включает;123;Информационные системы и цифровая трансформация;"Информационный; про ТЗ до старта"
09-custom-development-prototype;дополнительная;проектирование информационной системы ис;170;Информационные системы и цифровая трансформация;Информационный
09-custom-development-prototype;дополнительная;прототипирование из Excel;7;Автоматизация рутинных операций и отчетов;Микрочастота, но ровно сценарий статьи
09-custom-development-prototype;дополнительная;разработка прототипов без кода;3;Информационные системы и цифровая трансформация;"Микрочастота; отдана как основная статье 12, здесь только фоном"
09-custom-development-prototype;дополнительная;техническое задание на bpm;1;BPM и автоматизация бизнес-процессов;Единственное «техническое задание» в ядре — частота 1
09-custom-development-prototype;дополнительная;информационная система и MVP;0;Информационные системы и цифровая трансформация;Частота 0
10-no-release-changes;основная;информационная система и модернизация;525;Информационные системы и цифровая трансформация;"«Изменение без релиза» = модернизация без разработки; информационный интент. В H1 ложится: «Модернизация информационной системы без нового релиза»"
10-no-release-changes;дополнительная;развитие и модернизация информационной системы;247;Информационные системы и цифровая трансформация;"Информационный; развёрнутая форма основной"
10-no-release-changes;дополнительная;информационная система и поддержка;2640;Информационные системы и цифровая трансформация;"Крупный Wordstat-агрегат; ОСТОРОЖНО — кластер «сопровождение» (14819) закреплён за informatsionnaya-sistema.html, брать только в теле"
10-no-release-changes;дополнительная;информационная система и техническая поддержка;465;Информационные системы и цифровая трансформация;"Информационный; та же оговорка"
10-no-release-changes;дополнительная;информационная система и настройка;539;Информационные системы и цифровая трансформация;"Информационный; «настройка вместо разработки» — тезис статьи"
10-no-release-changes;дополнительная;информационная система и обновления;343;Информационные системы и цифровая трансформация;"Информационный; про релизы"
10-no-release-changes;дополнительная;гибкость бизнес процессов;218;BPM и автоматизация бизнес-процессов;"Информационный; про скорость реакции на изменения"
10-no-release-changes;дополнительная;информационная система и гибкость;72;Информационные системы и цифровая трансформация;Информационный
10-no-release-changes;дополнительная;информационная система и стоимость владения;23;Информационные системы и цифровая трансформация;"Отдана как основная статье 16; здесь только фоном"
10-no-release-changes;дополнительная;модернизация бизнес процессов;97;BPM и автоматизация бизнес-процессов;Информационный, соседний кластер
11-ai-interface-data-safety;основная;целостность информации и информационных систем;221;Информационные системы и цифровая трансформация;Тезис статьи дословно: ИИ рисует экран, целостность данных обеспечивает платформа. Информационный интент. Кластер ИИ («информационная система и искусственный интеллект», 1986) занят страницей agent-platforms
11-ai-interface-data-safety;дополнительная;обеспечение целостности информационной системы и информации;74;Информационные системы и цифровая трансформация;Развёрнутая форма основной
11-ai-interface-data-safety;дополнительная;информационная система и риски;916;Информационные системы и цифровая трансформация;"Информационный; про риск быстрого прототипа"
11-ai-interface-data-safety;дополнительная;управление данными качестве;1802;Корпоративная аналитика и Big Data;"Крупный агрегат про качество данных; в тело, формулировка кривая — в заголовок не годится"
11-ai-interface-data-safety;дополнительная;информационная система и ошибки внедрения;66;Информационные системы и цифровая трансформация;Информационный, точно по теме
11-ai-interface-data-safety;дополнительная;информационная система и защита данных;1928;Информационные системы и цифровая трансформация;"Отдана статье 23; здесь только фоном"
11-ai-interface-data-safety;дополнительная;искусственный интеллект и автоматизация бизнес процессов;113;BPM и автоматизация бизнес-процессов;"Информационно-коммерческий; ИИ-контекст без захода на территорию agent-platforms"
11-ai-interface-data-safety;дополнительная;информационная система и чат-боты;31;Информационные системы и цифровая трансформация;Хвост про ИИ-надстройки
11-ai-interface-data-safety;дополнительная;информационная система и безопасная миграция;1;Информационные системы и цифровая трансформация;Микрочастота
12-ai-prototype-rewrite;основная;разработка прототипов без кода;3;Информационные системы и цифровая трансформация;Частота 3 — это не спрос, а единственное точное совпадение. Статью честнее вести на внутренних ссылках и хвостах, чем натягивать чужую высокочастотную фразу
12-ai-prototype-rewrite;дополнительная;прототипирование из Excel;7;Автоматизация рутинных операций и отчетов;"Микрочастота; отдана фоном и статье 09"
12-ai-prototype-rewrite;дополнительная;информационная система и жизненный цикл;762;Информационные системы и цифровая трансформация;Информационный агрегат: «что происходит после демо» = жизненный цикл
12-ai-prototype-rewrite;дополнительная;жизненный цикл информационной системы ис;209;Информационные системы и цифровая трансформация;Информационный
12-ai-prototype-rewrite;дополнительная;информационная система и модернизация;525;Информационные системы и цифровая трансформация;"Отдана статье 10; здесь фоном"
12-ai-prototype-rewrite;дополнительная;информационная система и MVP;0;Информационные системы и цифровая трансформация;Частота 0
12-ai-prototype-rewrite;дополнительная;информационная система и адаптация моделей под изменения;0;Информационные системы и цифровая трансформация;Частота 0, но дословный тезис статьи
12-ai-prototype-rewrite;дополнительная;информационная система и риски;916;Информационные системы и цифровая трансформация;Отдана фоном статье 11
13-api-json-export;основная;информационная система и интеграция;1477;Информационные системы и цифровая трансформация;"Крупнейшая свободная фраза про интеграцию; информационный интент. В H1: «Интеграция информационной системы через API вместо ручных выгрузок»"
13-api-json-export;дополнительная;информационная система и API;79;Информационные системы и цифровая трансформация;Единственная точная API-фраза ядра — обязательна, несмотря на частоту
13-api-json-export;дополнительная;интеграция crm систем;504;BPM и автоматизация бизнес-процессов;Крупная, но CRM-кластер закреплён за страницей сравнения — только в теле, не в заголовке
13-api-json-export;дополнительная;автоматизация загрузки данных;59;BPM и автоматизация бизнес-процессов;"Коммерческий; отдана как основная статье 17 — здесь фоном"
13-api-json-export;дополнительная;автоматизация выгрузки данных;29;BPM и автоматизация бизнес-процессов;Коммерческий, точно про выгрузки
13-api-json-export;дополнительная;api для автоматизации процессов;29;BPM и автоматизация бизнес-процессов;Коммерческий, точный
13-api-json-export;дополнительная;импорт и экспорт данных информационной системы;22;Информационные системы и цифровая трансформация;Информационный, точный
13-api-json-export;дополнительная;выгрузка данных из системы в excel по расписанию;0;Автоматизация рутинных операций и отчетов;Частота 0, но дословный сценарий статьи
13-api-json-export;дополнительная;информационная система и open API;0;Информационные системы и цифровая трансформация;Частота 0
13-api-json-export;дополнительная;лимиты API запросов к таблицам;0;Преодоление технических лимитов и масштабирование;"Частота 0; годится в блок ограничений"
14-forms;основная;система учета и управления заявками;30;BPM и автоматизация бизнес-процессов;"Формы в Интеграме — это приём заявок; единственная точная фраза, свободная от главной. «создание формы из Excel таблицы» (30) и «создание форм» (0) заняты главной страницей"
14-forms;дополнительная;создание формы ввода из Excel шаблона;4;Автоматизация рутинных операций и отчетов;Микрочастота, точная формулировка
14-forms;дополнительная;автоматизация обработки входящих заявок;1;Автоматизация рутинных операций и отчетов;Микрочастота, точный сценарий
14-forms;дополнительная;автоматизация лидогенерации;14;BPM и автоматизация бизнес-процессов;"Коммерческий; публичная форма как источник лидов"
14-forms;дополнительная;база данных для ведения учета;96;BPM и автоматизация бизнес-процессов;Коммерческий фон: форма — представление той же таблицы
14-forms;дополнительная;автоматизация совместной работы;88;BPM и автоматизация бизнес-процессов;Отдана фоном статье 03
14-forms;дополнительная;автоматизация разграничения доступа;13;BPM и автоматизация бизнес-процессов;"Права на форме — отличие от Google Forms; отдана статье 05, здесь фоном"
14-forms;дополнительная;создание форм;0;Процессный подход к управлению;ЗАНЯТО главной — не брать в заголовок
14-forms;дополнительная;создание формы из Excel таблицы;30;Автоматизация рутинных операций и отчетов;ЗАНЯТО главной — не брать
14a-reports;основная;система автоматизации отчетности;699;BPM и автоматизация бизнес-процессов;"Крупная свободная фраза, точно по теме; коммерческий интент — статья при этом информационная, поэтому фразу давать в заголовок, а вокруг разворачивать объяснение, а не оффер"
14a-reports;дополнительная;информационная система и отчетность;815;Информационные системы и цифровая трансформация;"Информационный агрегат; в тело"
14a-reports;дополнительная;внедрение процессов автоматизации отчетности;516;BPM и автоматизация бизнес-процессов;Коммерческий, развёрнутая форма основной
14a-reports;дополнительная;автоматическое формирование отчетов;240;BPM и автоматизация бизнес-процессов;Коммерческий, точный
14a-reports;дополнительная;сводная аналитика;208;Автоматизация рутинных операций и отчетов;"Информационный; группировки и срезы"
14a-reports;дополнительная;сводная таблица аналитики;104;Автоматизация рутинных операций и отчетов;Информационный
14a-reports;дополнительная;аналитика сводные таблицы;104;Автоматизация рутинных операций и отчетов;Словоформа предыдущей
14a-reports;дополнительная;автоматическая генерация отчетов;65;Автоматизация рутинных операций и отчетов;Коммерческий
14a-reports;дополнительная;создание отчетов по расписанию;5;Автоматизация рутинных операций и отчетов;Хвост, точный сценарий
14a-reports;дополнительная;сводный отчет по продажам в один клик;5;Автоматизация рутинных операций и отчетов;Хвост
14a-reports;дополнительная;конвертация сводных таблиц Excel;2;Автоматизация рутинных операций и отчетов;Микрочастота
14b-dashboards;основная;сводные таблицы Excel в дашборд;80;Автоматизация рутинных операций и отчетов;Точное попадание в тему (дашборд вместо связки таблица+BI), информационный интент. Крупные «визуализация больших данных» (551) — про Big Data, а не про дашборд учётной системы: брать их основными значит промахнуться интентом
14b-dashboards;дополнительная;визуализация больших данных;551;Внутренние учетные системы для бизнеса;"Крупная, но интент Big Data; только в теле и с честной оговоркой"
14b-dashboards;дополнительная;визуализация больших объемов данных;296;Внутренние учетные системы для бизнеса;Та же оговорка
14b-dashboards;дополнительная;бизнес процесс kpi;189;Процессный подход к управлению;"Информационный; блок про KPI-панели"
14b-dashboards;дополнительная;показателей kpi бизнес процессов;77;Процессный подход к управлению;Информационный
14b-dashboards;дополнительная;инструменты визуализации больших данных;57;Внутренние учетные системы для бизнеса;"Коммерческий; про внешние BI"
14b-dashboards;дополнительная;дашборды на основе Excel данных;44;Автоматизация рутинных операций и отчетов;Точный, информационный
14b-dashboards;дополнительная;сводные таблицы и дашборды в excel;37;Автоматизация рутинных операций и отчетов;Точный
14b-dashboards;дополнительная;визуализация корпоративных данных;31;Корпоративная аналитика и Big Data;Точнее по интенту, чем «большие данные»
14b-dashboards;дополнительная;дашборды с автоматическим обновлением данных в реальном времени;12;Автоматизация рутинных операций и отчетов;Хвост, точный сценарий
14b-dashboards;дополнительная;информационная система и KPI;8;Информационные системы и цифровая трансформация;Хвост
14b-dashboards;дополнительная;автоматическое формирование аналитических дашбордов;1;Автоматизация рутинных операций и отчетов;Микрочастота
15-local-control-files;основная;локальные информационные системы это;366;Информационные системы и цифровая трансформация;Точное попадание: платформа в собственном контуре. Информационный интент. Разведена со статьёй 18, которая берёт закупочно-регуляторный угол («российское ПО»)
15-local-control-files;дополнительная;что такое локальные информационные системы;42;Информационные системы и цифровая трансформация;Вопросная форма основной — в FAQ
15-local-control-files;дополнительная;информационная система и резервное копирование;126;Информационные системы и цифровая трансформация;"Информационный; свои бэкапы. Внимание: пересекается со статьёй 23 — там фоном, здесь основным содержанием блока"
15-local-control-files;дополнительная;информационная система и облачные технологии;80;Информационные системы и цифровая трансформация;"Информационный; контраст «облако vs свой контур»"
15-local-control-files;дополнительная;хранение больших объемов данных облачно;38;Внутренние учетные системы для бизнеса;Информационный
15-local-control-files;дополнительная;информационная система и доступность;549;Информационные системы и цифровая трансформация;"Отдана статье 23; здесь фоном"
15-local-control-files;дополнительная;информационная система и on-premise;2;Информационные системы и цифровая трансформация;Микрочастота, но точная формулировка
15-local-control-files;дополнительная;автоматическое резервное копирование данных по расписанию;0;Автоматизация рутинных операций и отчетов;Частота 0
15-local-control-files;дополнительная;информационная система и локальные команды;1;Информационные системы и цифровая трансформация;Микрочастота
16-pricing-policy;основная;информационная система и стоимость владения;23;Информационные системы и цифровая трансформация;"Частота 23 — единственная фраза ядра про TCO. Кластера про per-seat/usage-based оплату в ядре нет вообще; «crm система стоимость» (75) отдана странице токенов"
16-pricing-policy;дополнительная;сколько стоит crm система;77;BPM и автоматизация бизнес-процессов;ОСТОРОЖНО: соседняя «crm система стоимость» (75) назначена tokens.html — риск каннибализации с продуктовой страницей
16-pricing-policy;дополнительная;автоматизация лицензирования;89;BPM и автоматизация бизнес-процессов;"Единственное упоминание лицензий; про «платные места»"
16-pricing-policy;дополнительная;облачные crm системы;165;BPM и автоматизация бизнес-процессов;"Коммерческий; SaaS-тарификация как контекст"
16-pricing-policy;дополнительная;автоматизация бизнес процессов стоимость;25;BPM и автоматизация бизнес-процессов;Коммерческий
16-pricing-policy;дополнительная;цена увеличения объема таблицы;11;Преодоление технических лимитов и масштабирование;Точно про рост счёта от объёма
16-pricing-policy;дополнительная;стоимость crm системы для малого бизнеса;5;BPM и автоматизация бизнес-процессов;Хвост
16-pricing-policy;дополнительная;информационная система и оценка эффективности;323;Информационные системы и цифровая трансформация;"Информационный; окупаемость как соседняя тема"
16-pricing-policy;дополнительная;цена создания;0;Процессный подход к управлению;Частота 0
17-smart-google-import;основная;автоматизация загрузки данных;59;BPM и автоматизация бизнес-процессов;Единственная свободная фраза, попадающая в тему. Запросов вида «синхронизация google sheets», «gssync», «импорт google sheets» в ядре НЕТ, а «автоматическое обновление данных из Excel» (22) занято главной
17-smart-google-import;дополнительная;автоматизация выгрузки данных;29;BPM и автоматизация бизнес-процессов;Обратное направление того же процесса
17-smart-google-import;дополнительная;импорт и экспорт данных информационной системы;22;Информационные системы и цифровая трансформация;Информационный, отдан фоном статье 13
17-smart-google-import;дополнительная;как перенести данные из Excel без потерь;15;Автоматизация рутинных операций и отчетов;Точный, информационный — «не ломается при перемещении строк»
17-smart-google-import;дополнительная;интеграция Excel данных в систему;6;Автоматизация рутинных операций и отчетов;Хвост
17-smart-google-import;дополнительная;перенос данных из Excel в систему;5;Автоматизация рутинных операций и отчетов;Хвост
17-smart-google-import;дополнительная;расписание обновления из Excel;3;Автоматизация рутинных операций и отчетов;Хвост, точный сценарий регулярной синхронизации
17-smart-google-import;дополнительная;автоматизация синхронизации справочников;0;BPM и автоматизация бизнес-процессов;Частота 0, но дословная формулировка
17-smart-google-import;дополнительная;синхронизация excel;0;Процессный подход к управлению;Частота 0
17-smart-google-import;дополнительная;автоматический импорт данных из 1с в таблицу;0;Автоматизация рутинных операций и отчетов;Частота 0
